edge_index,mcu_pa9_time_s,pi_irq_marker_time_s,delta_us
1488,1.4883020,1.4883055,3.50
1489,1.4893019,1.4893054,3.50
1490,1.4903019,1.4903053,3.40
1491,1.4913018,1.4913053,3.50
1492,1.4923017,1.4923052,3.50
1493,1.4933017,1.4933051,3.40
1494,1.4943016,1.4943051,3.50
1495,1.4953015,1.4953050,3.50
1496,1.4963015,1.4963049,3.40
1497,1.4973014,1.4973049,3.50
1498,1.4983013,1.4983048,3.50
1499,1.4993013,1.4993048,3.50
1500,1.5003012,1.5003047,3.50
1501,1.5013012,1.5013046,3.40
1502,1.5023011,1.5023046,3.50
1503,1.5033010,1.5033045,3.50
1504,1.5043010,1.5043045,3.50
1505,1.5053009,1.5053044,3.50
1506,1.5063008,1.5063043,3.50
1507,1.5073008,1.5073043,3.50
1508,1.5083007,1.5083042,3.50
1509,1.5093006,1.5093041,3.50
1510,1.5103006,1.5103041,3.50
1511,1.5113005,1.5113040,3.50
1512,1.5123005,1.5123039,3.40
1513,1.5133004,1.5133039,3.50
1514,1.5143003,1.5143038,3.50
1515,1.5153003,1.5153037,3.40
1516,1.5163002,1.5163037,3.50
1517,1.5173001,1.5173037,3.60
1518,1.5183001,1.5183036,3.50
1519,1.5193000,1.5193035,3.50
1520,1.5203000,1.5203035,3.50
1521,1.5212999,1.5213034,3.50
1522,1.5222998,1.5223033,3.50
1523,1.5232998,1.5233032,3.40
1524,1.5242997,1.5243032,3.50
1525,1.5252996,1.5253031,3.50
1526,1.5262996,1.5263031,3.50
1527,1.5272995,1.5273030,3.50
1528,1.5282995,1.5283029,3.40
1529,1.5292994,1.5293029,3.50
1530,1.5302993,1.5303028,3.50
1531,1.5312993,1.5313027,3.40
1532,1.5322992,1.5323027,3.50
1533,1.5332991,1.5333026,3.50
1534,1.5342991,1.5343025,3.40
1535,1.5352990,1.5353025,3.50
1536,1.5362989,1.5363024,3.50
1537,1.5372989,1.5373024,3.50
1538,1.5382988,1.5383023,3.50
1539,1.5392988,1.5393023,3.50
1540,1.5402987,1.5403022,3.50
1541,1.5412986,1.5413021,3.50
1542,1.5422986,1.5423020,3.40
1543,1.5432985,1.5433020,3.50
1544,1.5442984,1.5443019,3.50
1545,1.5452984,1.5453019,3.50
1546,1.5462983,1.5463018,3.50
1547,1.5472982,1.5473017,3.50
1548,1.5482982,1.5483017,3.50
1549,1.5492981,1.5493016,3.50
1550,1.5502981,1.5503015,3.40
1551,1.5512980,1.5513015,3.50
1552,1.5522979,1.5523014,3.50
1553,1.5532979,1.5533014,3.50
1554,1.5542978,1.5543013,3.50
1555,1.5552977,1.5553012,3.50
1556,1.5562977,1.5563012,3.50
1557,1.5572976,1.5573011,3.50
1558,1.5582976,1.5583010,3.40
1559,1.5592975,1.5593010,3.50
1560,1.5602974,1.5603009,3.50
1561,1.5612974,1.5613009,3.50
1562,1.5622973,1.5623008,3.50
1563,1.5632972,1.5633007,3.50
1564,1.5642972,1.5643007,3.50
1565,1.5652971,1.5653006,3.50
1566,1.5662971,1.5663005,3.40
1567,1.5672970,1.5673005,3.50
1568,1.5682969,1.5683004,3.50
1569,1.5692969,1.5693003,3.40
1570,1.5702968,1.5703003,3.50
1571,1.5712967,1.5713003,3.60
1572,1.5722967,1.5723002,3.50
1573,1.5732966,1.5733001,3.50
1574,1.5742965,1.5743000,3.50
1575,1.5752965,1.5753000,3.50
1576,1.5762964,1.5762999,3.50
1577,1.5772964,1.5772998,3.40
1578,1.5782963,1.5782998,3.50
1579,1.5792962,1.5792997,3.50
1580,1.5802962,1.5802997,3.50
1581,1.5812961,1.5812996,3.50
1582,1.5822960,1.5822995,3.50
1583,1.5832960,1.5832995,3.50
1584,1.5842959,1.5842995,3.60
1585,1.5852958,1.5852994,3.60
1586,1.5862958,1.5862993,3.50
1587,1.5872957,1.5872992,3.50
1588,1.5882957,1.5882991,3.40
1589,1.5892956,1.5892991,3.50
1590,1.5902955,1.5902991,3.60
1591,1.5912955,1.5912989,3.40
1592,1.5922954,1.5922989,3.50
1593,1.5932953,1.5932988,3.50
1594,1.5942953,1.5942988,3.50
1595,1.5952952,1.5952987,3.50
1596,1.5962952,1.5962987,3.50
1597,1.5972951,1.5972986,3.50
1598,1.5982950,1.5982985,3.50
1599,1.5992950,1.5992984,3.40
1600,1.6002949,1.6002984,3.50
1601,1.6012948,1.6012983,3.50
1602,1.6022948,1.6022983,3.50
1603,1.6032947,1.6032982,3.50
1604,1.6042946,1.6042981,3.50
1605,1.6052946,1.6052981,3.50
1606,1.6062945,1.6062980,3.50
1607,1.6072945,1.6072980,3.50
1608,1.6082944,1.6082979,3.50
1609,1.6092943,1.6092978,3.50
1610,1.6102943,1.6102977,3.40
1611,1.6112942,1.6112978,3.60
1612,1.6122941,1.6122976,3.50
1613,1.6132941,1.6132976,3.50
1614,1.6142940,1.6142975,3.50
1615,1.6152940,1.6152974,3.40
1616,1.6162939,1.6162974,3.50
1617,1.6172938,1.6172973,3.50
1618,1.6182938,1.6182972,3.40
1619,1.6192937,1.6192972,3.50
1620,1.6202936,1.6202971,3.50
1621,1.6212936,1.6212971,3.50
1622,1.6222935,1.6222970,3.50
1623,1.6232934,1.6232969,3.50
1624,1.6242934,1.6242969,3.50
1625,1.6252933,1.6252968,3.50
1626,1.6262933,1.6262967,3.40
1627,1.6272932,1.6272967,3.50
1628,1.6282931,1.6282966,3.50
1629,1.6292931,1.6292966,3.50
1630,1.6302930,1.6302965,3.50
1631,1.6312929,1.6312965,3.60
1632,1.6322929,1.6322963,3.40
1633,1.6332928,1.6332963,3.50
1634,1.6342928,1.6342963,3.50
1635,1.6352927,1.6352962,3.50
1636,1.6362926,1.6362961,3.50
1637,1.6372926,1.6372960,3.40
1638,1.6382925,1.6382960,3.50
1639,1.6392924,1.6392959,3.50
1640,1.6402924,1.6402959,3.50
1641,1.6412923,1.6412958,3.50
1642,1.6422922,1.6422957,3.50
1643,1.6432922,1.6432957,3.50
1644,1.6442921,1.6442956,3.50
1645,1.6452921,1.6452955,3.40
1646,1.6462920,1.6462955,3.50
1647,1.6472919,1.6472954,3.50
1648,1.6482919,1.6482954,3.50
1649,1.6492918,1.6492953,3.50
1650,1.6502917,1.6502952,3.50
1651,1.6512917,1.6512952,3.50
1652,1.6522916,1.6522951,3.50
1653,1.6532915,1.6532950,3.50
1654,1.6542915,1.6542950,3.50
1655,1.6552914,1.6552949,3.50
1656,1.6562914,1.6562948,3.40
1657,1.6572913,1.6573014,10.10
1658,1.6582912,1.6582947,3.50
1659,1.6592912,1.6592946,3.40
1660,1.6602911,1.6602946,3.50
1661,1.6612910,1.6612945,3.50
1662,1.6622910,1.6622945,3.50
1663,1.6632909,1.6632944,3.50
1664,1.6642909,1.6642943,3.40
1665,1.6652908,1.6652943,3.50
1666,1.6662907,1.6662942,3.50
1667,1.6672907,1.6672941,3.40
1668,1.6682906,1.6682941,3.50
1669,1.6692905,1.6692940,3.50
1670,1.6702905,1.6702940,3.50
1671,1.6712904,1.6712939,3.50
1672,1.6722904,1.6722938,3.40
1673,1.6732903,1.6732938,3.50
1674,1.6742902,1.6742937,3.50
1675,1.6752902,1.6752936,3.40
1676,1.6762901,1.6762936,3.50
1677,1.6772900,1.6772935,3.50
1678,1.6782900,1.6782934,3.40
1679,1.6792899,1.6792934,3.50
1680,1.6802898,1.6802934,3.60
1681,1.6812898,1.6812933,3.50
1682,1.6822897,1.6822932,3.50
1683,1.6832897,1.6832931,3.40
1684,1.6842896,1.6842931,3.50
1685,1.6852895,1.6852930,3.50
1686,1.6862895,1.6862929,3.40
1687,1.6872894,1.6872929,3.50
1688,1.6882893,1.6882928,3.50
1689,1.6892893,1.6892928,3.50
1690,1.6902892,1.6902927,3.50
1691,1.6912891,1.6912927,3.60
1692,1.6922891,1.6922926,3.50
1693,1.6932890,1.6932925,3.50
1694,1.6942890,1.6942924,3.40
1695,1.6952889,1.6952924,3.50
1696,1.6962888,1.6962923,3.50
1697,1.6972888,1.6972923,3.50
1698,1.6982887,1.6982922,3.50
1699,1.6992886,1.6992921,3.50
1700,1.7002886,1.7002921,3.50
1701,1.7012885,1.7012920,3.50
1702,1.7022885,1.7022919,3.40
1703,1.7032884,1.7032919,3.50
1704,1.7042883,1.7042918,3.50
1705,1.7052883,1.7052983,10.00
1706,1.7062882,1.7062917,3.50
1707,1.7072881,1.7072916,3.50
1708,1.7082881,1.7082916,3.50
1709,1.7092880,1.7092915,3.50
1710,1.7102880,1.7102914,3.40
1711,1.7112879,1.7112914,3.50
1712,1.7122878,1.7122913,3.50
1713,1.7132878,1.7132913,3.50
1714,1.7142877,1.7142912,3.50
1715,1.7152876,1.7152912,3.60
1716,1.7162876,1.7162911,3.50
1717,1.7172875,1.7172910,3.50
1718,1.7182874,1.7182909,3.50
1719,1.7192874,1.7192909,3.50
1720,1.7202873,1.7202908,3.50
1721,1.7212873,1.7212908,3.50
1722,1.7222872,1.7222906,3.40
1723,1.7232871,1.7232907,3.60
1724,1.7242871,1.7242906,3.50
1725,1.7252870,1.7252905,3.50
1726,1.7262869,1.7262904,3.50
1727,1.7272869,1.7272904,3.50
1728,1.7282868,1.7282903,3.50
1729,1.7292867,1.7292902,3.50
1730,1.7302867,1.7302901,3.40
1731,1.7312866,1.7312902,3.60
1732,1.7322866,1.7322900,3.40
1733,1.7332865,1.7332900,3.50
1734,1.7342864,1.7342899,3.50
1735,1.7352864,1.7352899,3.50
1736,1.7362863,1.7362898,3.50
1737,1.7372862,1.7372898,3.60
1738,1.7382862,1.7382897,3.50
1739,1.7392861,1.7392896,3.50
1740,1.7402861,1.7402895,3.40
1741,1.7412860,1.7412894,3.40
1742,1.7422859,1.7422894,3.50
1743,1.7432859,1.7432893,3.40
1744,1.7442858,1.7442893,3.50
1745,1.7452857,1.7452892,3.50
1746,1.7462857,1.7462892,3.50
1747,1.7472856,1.7472891,3.50
1748,1.7482855,1.7482890,3.50
1749,1.7492855,1.7492890,3.50
1750,1.7502854,1.7502889,3.50
1751,1.7512854,1.7512888,3.40
1752,1.7522853,1.7522888,3.50
1753,1.7532852,1.7532887,3.50
1754,1.7542852,1.7542887,3.50
1755,1.7552851,1.7552886,3.50
1756,1.7562850,1.7562886,3.60
1757,1.7572850,1.7572885,3.50
1758,1.7582849,1.7582884,3.50
1759,1.7592849,1.7592884,3.50
1760,1.7602848,1.7602883,3.50
1761,1.7612847,1.7612882,3.50
1762,1.7622847,1.7622882,3.50
1763,1.7632846,1.7632881,3.50
1764,1.7642845,1.7642880,3.50
1765,1.7652845,1.7652880,3.50
1766,1.7662844,1.7662879,3.50
1767,1.7672843,1.7672879,3.60
1768,1.7682843,1.7682878,3.50
1769,1.7692842,1.7692877,3.50
1770,1.7702842,1.7702877,3.50
1771,1.7712841,1.7712876,3.50
1772,1.7722840,1.7722875,3.50
1773,1.7732840,1.7732874,3.40
1774,1.7742839,1.7742874,3.50
1775,1.7752838,1.7752873,3.50
1776,1.7762838,1.7762873,3.50
1777,1.7772837,1.7772872,3.50
1778,1.7782837,1.7782872,3.50
1779,1.7792836,1.7792871,3.50
1780,1.7802835,1.7802870,3.50
1781,1.7812835,1.7812870,3.50
1782,1.7822834,1.7822869,3.50
1783,1.7832833,1.7832868,3.50
1784,1.7842833,1.7842868,3.50
1785,1.7852832,1.7852867,3.50
1786,1.7862831,1.7862866,3.50
1787,1.7872831,1.7872865,3.40
1788,1.7882830,1.7882866,3.60
1789,1.7892830,1.7892864,3.40
1790,1.7902829,1.7902864,3.50
1791,1.7912828,1.7912863,3.50
1792,1.7922828,1.7922863,3.50
1793,1.7932827,1.7932862,3.50
1794,1.7942826,1.7942861,3.50
1795,1.7952826,1.7952861,3.50
1796,1.7962825,1.7962860,3.50
1797,1.7972824,1.7972859,3.50
1798,1.7982824,1.7982859,3.50
1799,1.7992823,1.7992858,3.50
1800,1.8002823,1.8002857,3.40
1801,1.8012822,1.8012857,3.50
1802,1.8022821,1.8022856,3.50
1803,1.8032821,1.8032855,3.40
1804,1.8042820,1.8042855,3.50
1805,1.8052819,1.8052854,3.50
1806,1.8062819,1.8062854,3.50
1807,1.8072818,1.8072853,3.50
1808,1.8082818,1.8082852,3.40
1809,1.8092817,1.8092852,3.50
1810,1.8102816,1.8102851,3.50
1811,1.8112816,1.8112850,3.40
1812,1.8122815,1.8122850,3.50
1813,1.8132814,1.8132849,3.50
1814,1.8142814,1.8142848,3.40
1815,1.8152813,1.8152848,3.50
1816,1.8162813,1.8162848,3.50
1817,1.8172812,1.8172847,3.50
1818,1.8182811,1.8182846,3.50
1819,1.8192811,1.8192846,3.50
1820,1.8202810,1.8202846,3.60
1821,1.8212809,1.8212844,3.50
1822,1.8222809,1.8222844,3.50
1823,1.8232808,1.8232843,3.50
1824,1.8242807,1.8242842,3.50
1825,1.8252807,1.8252842,3.50
1826,1.8262806,1.8262841,3.50
1827,1.8272806,1.8272840,3.40
1828,1.8282805,1.8282840,3.50
1829,1.8292804,1.8292839,3.50
1830,1.8302804,1.8302838,3.40
1831,1.8312803,1.8312838,3.50
1832,1.8322802,1.8322837,3.50
1833,1.8332802,1.8332836,3.40
1834,1.8342801,1.8342836,3.50
1835,1.8352800,1.8352835,3.50
1836,1.8362800,1.8362899,9.90
1837,1.8372799,1.8372834,3.50
1838,1.8382799,1.8382833,3.40
1839,1.8392798,1.8392833,3.50
1840,1.8402797,1.8402833,3.60
1841,1.8412797,1.8412832,3.50
1842,1.8422796,1.8422832,3.60
1843,1.8432795,1.8432830,3.50
1844,1.8442795,1.8442831,3.60
1845,1.8452794,1.8452829,3.50
1846,1.8462794,1.8462880,8.60
1847,1.8472793,1.8472828,3.50
1848,1.8482792,1.8482879,8.70
1849,1.8492792,1.8492827,3.50
1850,1.8502791,1.8502877,8.60
1851,1.8512790,1.8512825,3.50
1852,1.8522790,1.8522877,8.70
1853,1.8532789,1.8532824,3.50
1854,1.8542789,1.8542875,8.60
1855,1.8552788,1.8552823,3.50
1856,1.8562787,1.8562874,8.70
1857,1.8572787,1.8572821,3.40
1858,1.8582786,1.8582872,8.60
1859,1.8592785,1.8592820,3.50
1860,1.8602785,1.8602819,3.40
1861,1.8612784,1.8612819,3.50
1862,1.8622783,1.8622818,3.50
1863,1.8632783,1.8632817,3.40
1864,1.8642782,1.8642818,3.60
1865,1.8652782,1.8652816,3.40
1866,1.8662781,1.8662816,3.50
1867,1.8672780,1.8672815,3.50
1868,1.8682780,1.8682815,3.50
1869,1.8692779,1.8692814,3.50
1870,1.8702778,1.8702813,3.50
1871,1.8712778,1.8712813,3.50
1872,1.8722777,1.8722812,3.50
1873,1.8732776,1.8732811,3.50
1874,1.8742776,1.8742811,3.50
1875,1.8752775,1.8752810,3.50
1876,1.8762775,1.8762809,3.40
1877,1.8772774,1.8772809,3.50
1878,1.8782773,1.8782809,3.60
1879,1.8792773,1.8792807,3.40
1880,1.8802772,1.8802807,3.50
1881,1.8812771,1.8812807,3.60
1882,1.8822771,1.8822806,3.50
1883,1.8832770,1.8832805,3.50
1884,1.8842770,1.8842805,3.50
1885,1.8852769,1.8852804,3.50
1886,1.8862768,1.8862803,3.50
1887,1.8872768,1.8872802,3.40
1888,1.8882767,1.8882802,3.50
1889,1.8892766,1.8892801,3.50
1890,1.8902766,1.8902801,3.50
1891,1.8912765,1.8912800,3.50
1892,1.8922765,1.8922800,3.50
1893,1.8932764,1.8932799,3.50
1894,1.8942763,1.8942798,3.50
1895,1.8952763,1.8952798,3.50
1896,1.8962762,1.8962797,3.50
1897,1.8972761,1.8972796,3.50
1898,1.8982761,1.8982795,3.40
1899,1.8992760,1.8992795,3.50
1900,1.9002759,1.9002794,3.50
1901,1.9012759,1.9012794,3.50
1902,1.9022758,1.9022793,3.50
1903,1.9032758,1.9032792,3.40
1904,1.9042757,1.9042792,3.50
1905,1.9052756,1.9052791,3.50
1906,1.9062756,1.9062790,3.40
1907,1.9072755,1.9072790,3.50
1908,1.9082754,1.9082789,3.50
1909,1.9092754,1.9092789,3.50
1910,1.9102753,1.9102788,3.50
1911,1.9112752,1.9112787,3.50
1912,1.9122752,1.9122787,3.50
1913,1.9132751,1.9132786,3.50
1914,1.9142751,1.9142785,3.40
1915,1.9152750,1.9152785,3.50
1916,1.9162749,1.9162784,3.50
1917,1.9172749,1.9172784,3.50
1918,1.9182748,1.9182783,3.50
1919,1.9192747,1.9192782,3.50
1920,1.9202747,1.9202781,3.40
1921,1.9212746,1.9212781,3.50
1922,1.9222746,1.9222780,3.40
1923,1.9232745,1.9232780,3.50
1924,1.9242744,1.9242779,3.50
1925,1.9252744,1.9252779,3.50
1926,1.9262743,1.9262778,3.50
1927,1.9272742,1.9272777,3.50
1928,1.9282742,1.9282776,3.40
1929,1.9292741,1.9292776,3.50
1930,1.9302740,1.9302775,3.50
1931,1.9312740,1.9312775,3.50
1932,1.9322739,1.9322774,3.50
1933,1.9332739,1.9332773,3.40
1934,1.9342738,1.9342773,3.50
1935,1.9352737,1.9352772,3.50
1936,1.9362737,1.9362771,3.40
1937,1.9372736,1.9372771,3.50
1938,1.9382735,1.9382770,3.50
1939,1.9392735,1.9392770,3.50
1940,1.9402734,1.9402769,3.50
1941,1.9412733,1.9412768,3.50
1942,1.9422733,1.9422768,3.50
1943,1.9432732,1.9432767,3.50
1944,1.9442732,1.9442767,3.50
1945,1.9452731,1.9452766,3.50
1946,1.9462730,1.9462765,3.50
1947,1.9472730,1.9472765,3.50
1948,1.9482729,1.9482764,3.50
1949,1.9492728,1.9492764,3.60
1950,1.9502728,1.9502763,3.50
1951,1.9512727,1.9512762,3.50
1952,1.9522727,1.9522761,3.40
1953,1.9532726,1.9532761,3.50
1954,1.9542725,1.9542760,3.50
1955,1.9552725,1.9552760,3.50
1956,1.9562724,1.9562759,3.50
1957,1.9572723,1.9572758,3.50
1958,1.9582723,1.9582758,3.50
1959,1.9592722,1.9592757,3.50
1960,1.9602722,1.9602756,3.40
1961,1.9612721,1.9612756,3.50
1962,1.9622720,1.9622755,3.50
1963,1.9632720,1.9632755,3.50
1964,1.9642719,1.9642754,3.50
1965,1.9652718,1.9652753,3.50
1966,1.9662718,1.9662752,3.40
1967,1.9672717,1.9672752,3.50
1968,1.9682716,1.9682751,3.50
1969,1.9692716,1.9692750,3.40
1970,1.9702715,1.9702750,3.50
1971,1.9712715,1.9712750,3.50
1972,1.9722714,1.9722749,3.50
1973,1.9732713,1.9732748,3.50
1974,1.9742713,1.9742747,3.40
1975,1.9752712,1.9752747,3.50
1976,1.9762711,1.9762746,3.50
1977,1.9772711,1.9772746,3.50
1978,1.9782710,1.9782745,3.50
1979,1.9792709,1.9792744,3.50
1980,1.9802709,1.9802744,3.50
1981,1.9812708,1.9812743,3.50
1982,1.9822708,1.9822742,3.40
1983,1.9832707,1.9832742,3.50
1984,1.9842706,1.9842741,3.50
1985,1.9852706,1.9852741,3.50
1986,1.9862705,1.9862740,3.50
1987,1.9872704,1.9872739,3.50
1988,1.9882704,1.9882739,3.50
1989,1.9892703,1.9892738,3.50
1990,1.9902703,1.9902737,3.40
1991,1.9912702,1.9912737,3.50
1992,1.9922701,1.9922737,3.60
1993,1.9932701,1.9932787,8.60
1994,1.9942700,1.9942735,3.50
1995,1.9952699,1.9952786,8.70
1996,1.9962699,1.9962735,3.60
1997,1.9972698,1.9972733,3.50
1998,1.9982698,1.9982732,3.40
1999,1.9992697,1.9992732,3.50
2000,2.0002696,2.0002731,3.50
2001,2.0012696,2.0012730,3.40
2002,2.0022695,2.0022730,3.50
2003,2.0032694,2.0032729,3.50
2004,2.0042694,2.0042729,3.50
2005,2.0052693,2.0052728,3.50
2006,2.0062692,2.0062727,3.50
2007,2.0072692,2.0072727,3.50
2008,2.0082691,2.0082726,3.50
2009,2.0092691,2.0092725,3.40
2010,2.0102690,2.0102725,3.50
2011,2.0112689,2.0112724,3.50
2012,2.0122689,2.0122724,3.50
2013,2.0132688,2.0132723,3.50
2014,2.0142687,2.0142722,3.50
2015,2.0152687,2.0152722,3.50
2016,2.0162686,2.0162721,3.50
2017,2.0172685,2.0172720,3.50
2018,2.0182685,2.0182720,3.50
2019,2.0192684,2.0192719,3.50
2020,2.0202684,2.0202718,3.40
2021,2.0212683,2.0212719,3.60
2022,2.0222682,2.0222717,3.50
2023,2.0232682,2.0232717,3.50
2024,2.0242681,2.0242716,3.50
2025,2.0252680,2.0252715,3.50
2026,2.0262680,2.0262715,3.50
2027,2.0272679,2.0272714,3.50
2028,2.0282679,2.0282713,3.40
2029,2.0292678,2.0292712,3.40
2030,2.0302677,2.0302712,3.50
2031,2.0312677,2.0312712,3.50
2032,2.0322676,2.0322711,3.50
2033,2.0332675,2.0332710,3.50
2034,2.0342675,2.0342709,3.40
2035,2.0352674,2.0352709,3.50
2036,2.0362674,2.0362708,3.40
2037,2.0372673,2.0372708,3.50
2038,2.0382672,2.0382707,3.50
2039,2.0392672,2.0392706,3.40
2040,2.0402671,2.0402706,3.50
2041,2.0412670,2.0412705,3.50
2042,2.0422670,2.0422705,3.50
2043,2.0432669,2.0432704,3.50
2044,2.0442668,2.0442704,3.60
2045,2.0452668,2.0452703,3.50
2046,2.0462667,2.0462702,3.50
2047,2.0472667,2.0472701,3.40
2048,2.0482666,2.0482701,3.50
2049,2.0492665,2.0492700,3.50
2050,2.0502665,2.0502700,3.50
2051,2.0512664,2.0512699,3.50
2052,2.0522663,2.0522698,3.50
2053,2.0532663,2.0532698,3.50
2054,2.0542662,2.0542697,3.50
2055,2.0552661,2.0552696,3.50
2056,2.0562661,2.0562696,3.50
2057,2.0572660,2.0572695,3.50
2058,2.0582660,2.0582694,3.40
2059,2.0592659,2.0592694,3.50
2060,2.0602658,2.0602693,3.50
2061,2.0612658,2.0612693,3.50
2062,2.0622657,2.0622692,3.50
2063,2.0632656,2.0632691,3.50
2064,2.0642656,2.0642691,3.50
2065,2.0652655,2.0652690,3.50
2066,2.0662655,2.0662689,3.40
2067,2.0672654,2.0672689,3.50
2068,2.0682653,2.0682689,3.60
2069,2.0692653,2.0692688,3.50
2070,2.0702652,2.0702687,3.50
2071,2.0712651,2.0712686,3.50
2072,2.0722651,2.0722686,3.50
2073,2.0732650,2.0732685,3.50
2074,2.0742649,2.0742684,3.50
2075,2.0752649,2.0752684,3.50
2076,2.0762648,2.0762684,3.60
2077,2.0772648,2.0772683,3.50
2078,2.0782647,2.0782682,3.50
2079,2.0792646,2.0792681,3.50
2080,2.0802646,2.0802680,3.40
2081,2.0812645,2.0812680,3.50
2082,2.0822644,2.0822679,3.50
2083,2.0832644,2.0832679,3.50
2084,2.0842643,2.0842679,3.60
2085,2.0852643,2.0852677,3.40
2086,2.0862642,2.0862677,3.50
2087,2.0872641,2.0872676,3.50
2088,2.0882641,2.0882676,3.50
2089,2.0892640,2.0892675,3.50
2090,2.0902639,2.0902675,3.60
2091,2.0912639,2.0912674,3.50
2092,2.0922638,2.0922674,3.60
2093,2.0932637,2.0932672,3.50
2094,2.0942637,2.0942671,3.40
2095,2.0952636,2.0952671,3.50
2096,2.0962636,2.0962670,3.40
2097,2.0972635,2.0972670,3.50
2098,2.0982634,2.0982669,3.50
2099,2.0992634,2.0992668,3.40
2100,2.1002633,2.1002668,3.50
2101,2.1012632,2.1012667,3.50
2102,2.1022632,2.1022666,3.40
2103,2.1032631,2.1032666,3.50
2104,2.1042631,2.1042666,3.50
2105,2.1052630,2.1052665,3.50
2106,2.1062629,2.1062664,3.50
2107,2.1072629,2.1072663,3.40
2108,2.1082628,2.1082663,3.50
2109,2.1092627,2.1092662,3.50
2110,2.1102627,2.1102661,3.40
2111,2.1112626,2.1112661,3.50
2112,2.1122625,2.1122660,3.50
2113,2.1132625,2.1132660,3.50
2114,2.1142624,2.1142659,3.50
2115,2.1152624,2.1152658,3.40
2116,2.1162623,2.1162658,3.50
2117,2.1172622,2.1172657,3.50
2118,2.1182622,2.1182656,3.40
2119,2.1192621,2.1192656,3.50
2120,2.1202620,2.1202721,10.10
2121,2.1212620,2.1212654,3.40
2122,2.1222619,2.1222706,8.70
2123,2.1232618,2.1232653,3.50
2124,2.1242618,2.1242653,3.50
2125,2.1252617,2.1252652,3.50
2126,2.1262617,2.1262651,3.40
2127,2.1272616,2.1272651,3.50
2128,2.1282615,2.1282650,3.50
2129,2.1292615,2.1292650,3.50
2130,2.1302614,2.1302649,3.50
2131,2.1312613,2.1312648,3.50
2132,2.1322613,2.1322648,3.50
2133,2.1332612,2.1332647,3.50
2134,2.1342612,2.1342646,3.40
2135,2.1352611,2.1352646,3.50
2136,2.1362610,2.1362645,3.50
2137,2.1372610,2.1372644,3.40
2138,2.1382609,2.1382644,3.50
2139,2.1392608,2.1392643,3.50
2140,2.1402608,2.1402642,3.40
2141,2.1412607,2.1412642,3.50
2142,2.1422607,2.1422641,3.40
2143,2.1432606,2.1432640,3.40
2144,2.1442605,2.1442640,3.50
2145,2.1452605,2.1452639,3.40
2146,2.1462604,2.1462639,3.50
2147,2.1472603,2.1472638,3.50
2148,2.1482603,2.1482637,3.40
2149,2.1492602,2.1492637,3.50
2150,2.1502601,2.1502637,3.60
2151,2.1512601,2.1512636,3.50
2152,2.1522600,2.1522635,3.50
2153,2.1532600,2.1532634,3.40
2154,2.1542599,2.1542634,3.50
2155,2.1552598,2.1552633,3.50
2156,2.1562598,2.1562632,3.40
2157,2.1572597,2.1572693,9.60
2158,2.1582596,2.1582631,3.50
2159,2.1592596,2.1592631,3.50
2160,2.1602595,2.1602630,3.50
2161,2.1612594,2.1612629,3.50
2162,2.1622594,2.1622629,3.50
2163,2.1632593,2.1632628,3.50
2164,2.1642593,2.1642627,3.40
2165,2.1652592,2.1652627,3.50
2166,2.1662591,2.1662626,3.50
2167,2.1672591,2.1672626,3.50
2168,2.1682590,2.1682625,3.50
2169,2.1692589,2.1692625,3.60
2170,2.1702589,2.1702624,3.50
2171,2.1712588,2.1712623,3.50
2172,2.1722588,2.1722622,3.40
2173,2.1732587,2.1732622,3.50
2174,2.1742586,2.1742621,3.50
2175,2.1752586,2.1752621,3.50
2176,2.1762585,2.1762620,3.50
2177,2.1772584,2.1772620,3.60
2178,2.1782584,2.1782619,3.50
2179,2.1792583,2.1792618,3.50
2180,2.1802583,2.1802617,3.40
2181,2.1812582,2.1812617,3.50
2182,2.1822581,2.1822616,3.50
2183,2.1832581,2.1832616,3.50
2184,2.1842580,2.1842615,3.50
2185,2.1852579,2.1852614,3.50
2186,2.1862579,2.1862614,3.50
2187,2.1872578,2.1872613,3.50
2188,2.1882577,2.1882612,3.50
2189,2.1892577,2.1892612,3.50
2190,2.1902576,2.1902611,3.50
2191,2.1912576,2.1912610,3.40
2192,2.1922575,2.1922610,3.50
2193,2.1932574,2.1932610,3.60
2194,2.1942574,2.1942608,3.40
2195,2.1952573,2.1952608,3.50
2196,2.1962572,2.1962607,3.50
2197,2.1972572,2.1972607,3.50
2198,2.1982571,2.1982606,3.50
2199,2.1992570,2.1992605,3.50
2200,2.2002570,2.2002605,3.50
2201,2.2012569,2.2012604,3.50
2202,2.2022569,2.2022603,3.40
2203,2.2032568,2.2032603,3.50
2204,2.2042567,2.2042602,3.50
2205,2.2052567,2.2052601,3.40
2206,2.2062566,2.2062601,3.50
2207,2.2072565,2.2072601,3.60
2208,2.2082565,2.2082600,3.50
2209,2.2092564,2.2092599,3.50
2210,2.2102564,2.2102598,3.40
2211,2.2112563,2.2112598,3.50
2212,2.2122562,2.2122597,3.50
2213,2.2132562,2.2132596,3.40
2214,2.2142561,2.2142596,3.50
2215,2.2152560,2.2152595,3.50
2216,2.2162560,2.2162595,3.50
2217,2.2172559,2.2172594,3.50
2218,2.2182558,2.2182593,3.50
2219,2.2192558,2.2192593,3.50
2220,2.2202557,2.2202592,3.50
2221,2.2212557,2.2212591,3.40
2222,2.2222556,2.2222591,3.50
