edge_index,mcu_pa9_time_s,pi_irq_marker_time_s,delta_us
175,0.1753849,0.1753884,3.50
176,0.1763849,0.1763883,3.40
177,0.1773848,0.1773883,3.50
178,0.1783847,0.1783882,3.50
179,0.1793847,0.1793882,3.50
180,0.1803846,0.1803882,3.60
181,0.1813845,0.1813880,3.50
182,0.1823845,0.1823880,3.50
183,0.1833844,0.1833879,3.50
184,0.1843844,0.1843879,3.50
185,0.1853843,0.1853878,3.50
186,0.1863842,0.1863877,3.50
187,0.1873842,0.1873877,3.50
188,0.1883841,0.1883876,3.50
189,0.1893840,0.1893875,3.50
190,0.1903840,0.1903874,3.40
191,0.1913839,0.1913874,3.50
192,0.1923839,0.1923873,3.40
193,0.1933838,0.1933873,3.50
194,0.1943837,0.1943872,3.50
195,0.1953837,0.1953872,3.50
196,0.1963836,0.1963871,3.50
197,0.1973835,0.1973870,3.50
198,0.1983835,0.1983870,3.50
199,0.1993834,0.1993869,3.50
200,0.2003834,0.2003869,3.50
201,0.2013833,0.2013868,3.50
202,0.2023832,0.2023867,3.50
203,0.2033832,0.2033866,3.40
204,0.2043831,0.2043866,3.50
205,0.2053830,0.2053865,3.50
206,0.2063830,0.2063865,3.50
207,0.2073829,0.2073864,3.50
208,0.2083828,0.2083863,3.50
209,0.2093828,0.2093863,3.50
210,0.2103827,0.2103862,3.50
211,0.2113827,0.2113862,3.50
212,0.2123826,0.2123861,3.50
213,0.2133825,0.2133860,3.50
214,0.2143825,0.2143859,3.40
215,0.2153824,0.2153859,3.50
216,0.2163823,0.2163859,3.60
217,0.2173823,0.2173858,3.50
218,0.2183822,0.2183857,3.50
219,0.2193821,0.2193856,3.50
220,0.2203821,0.2203856,3.50
221,0.2213820,0.2213855,3.50
222,0.2223820,0.2223854,3.40
223,0.2233819,0.2233854,3.50
224,0.2243818,0.2243854,3.60
225,0.2253818,0.2253852,3.40
226,0.2263817,0.2263852,3.50
227,0.2273816,0.2273851,3.50
228,0.2283816,0.2283850,3.40
229,0.2293815,0.2293850,3.50
230,0.2303815,0.2303850,3.50
231,0.2313814,0.2313849,3.50
232,0.2323813,0.2323848,3.50
233,0.2333813,0.2333848,3.50
234,0.2343812,0.2343847,3.50
235,0.2353811,0.2353846,3.50
236,0.2363811,0.2363845,3.40
237,0.2373810,0.2373845,3.50
238,0.2383809,0.2383844,3.50
239,0.2393809,0.2393844,3.50
240,0.2403808,0.2403843,3.50
241,0.2413808,0.2413842,3.40
242,0.2423807,0.2423842,3.50
243,0.2433806,0.2433841,3.50
244,0.2443806,0.2443841,3.50
245,0.2453805,0.2453840,3.50
246,0.2463804,0.2463839,3.50
247,0.2473804,0.2473839,3.50
248,0.2483803,0.2483838,3.50
249,0.2493803,0.2493837,3.40
250,0.2503802,0.2503837,3.50
251,0.2513801,0.2513836,3.50
252,0.2523801,0.2523836,3.50
253,0.2533800,0.2533835,3.50
254,0.2543799,0.2543834,3.50
255,0.2553799,0.2553834,3.50
256,0.2563798,0.2563833,3.50
257,0.2573797,0.2573833,3.60
258,0.2583797,0.2583832,3.50
259,0.2593796,0.2593831,3.50
260,0.2603796,0.2603830,3.40
261,0.2613795,0.2613830,3.50
262,0.2623794,0.2623829,3.50
263,0.2633794,0.2633828,3.40
264,0.2643793,0.2643828,3.50
265,0.2653792,0.2653827,3.50
266,0.2663792,0.2663827,3.50
267,0.2673791,0.2673826,3.50
268,0.2683791,0.2683826,3.50
269,0.2693790,0.2693825,3.50
270,0.2703789,0.2703824,3.50
271,0.2713789,0.2713823,3.40
272,0.2723788,0.2723823,3.50
273,0.2733787,0.2733822,3.50
274,0.2743787,0.2743822,3.50
275,0.2753786,0.2753821,3.50
276,0.2763785,0.2763821,3.60
277,0.2773785,0.2773820,3.50
278,0.2783784,0.2783819,3.50
279,0.2793784,0.2793819,3.50
280,0.2803783,0.2803817,3.40
281,0.2813782,0.2813817,3.50
282,0.2823782,0.2823816,3.40
283,0.2833781,0.2833816,3.50
284,0.2843780,0.2843816,3.60
285,0.2853780,0.2853815,3.50
286,0.2863779,0.2863814,3.50
287,0.2873779,0.2873813,3.40
288,0.2883778,0.2883813,3.50
289,0.2893777,0.2893812,3.50
290,0.2903777,0.2903811,3.40
291,0.2913776,0.2913811,3.50
292,0.2923775,0.2923811,3.60
293,0.2933775,0.2933810,3.50
294,0.2943774,0.2943809,3.50
295,0.2953773,0.2953808,3.50
296,0.2963773,0.2963808,3.50
297,0.2973772,0.2973807,3.50
298,0.2983772,0.2983806,3.40
299,0.2993771,0.2993806,3.50
300,0.3003770,0.3003806,3.60
301,0.3013770,0.3013804,3.40
302,0.3023769,0.3023804,3.50
303,0.3033768,0.3033803,3.50
304,0.3043768,0.3043803,3.50
305,0.3053767,0.3053802,3.50
306,0.3063767,0.3063801,3.40
307,0.3073766,0.3073801,3.50
308,0.3083765,0.3083801,3.60
309,0.3093765,0.3093799,3.40
310,0.3103764,0.3103799,3.50
311,0.3113763,0.3113798,3.50
312,0.3123763,0.3123797,3.40
313,0.3133762,0.3133797,3.50
314,0.3143761,0.3143796,3.50
315,0.3153761,0.3153796,3.50
